ID,Τι κοιτάει,Απλή ερώτηση,Βαθμός 1-5 (1=κακό/όχι 5=πολύ καλό/ναι),Σχόλιο,Τι να αλλάξουμε αν χρειάζεται
1,Γενική κατανόηση,Είναι κατανοητό τι προσπαθεί να δείξει το demo;,,,
2,Κλινικά περιστατικά,Τα 3 de-identified KEDEEA περιστατικά παρουσιάζονται με κατανοητό τρόπο;,,,
3,Λειτουργικοί τομείς,Οι λειτουργικοί τομείς όπως ισορροπία βάδιση ADL πόνος κλπ είναι κλινικά λογικοί;,,,
4,Εργαλεία αξιολόγησης,Τα εργαλεία αξιολόγησης φαίνονται σωστά συνδεδεμένα με τα περιστατικά;,,,
5,Sensor datasets,Είναι ξεκάθαρη η διαφορά ανάμεσα στα κλινικά περιστατικά και τα sensor recordings από MEx/PhysioNet;,,,
6,Enterprise model,Τα τμήματα και οι ρόλοι του κέντρου αποκατάστασης φαίνονται ρεαλιστικά;,,,
7,Ρόλος LLM,Είναι αποδεκτό το LLM να προτείνει έννοιες/queries μόνο με ανθρώπινη επιβεβαίωση;,,,
8,Κλινική ροή,Η ροή assessment-goal-intervention-reassessment φαίνεται λογική για αποκατάσταση;,,,
9,Governance και provenance,Είναι χρήσιμο να φαίνεται ποιος ελέγχει την προέλευση των δεδομένων και ποιος εγκρίνει αλλαγές στο μοντέλο;,,,
10,Χρησιμότητα,Θα μπορούσε ένα τέτοιο knowledge graph να βοηθήσει σε ερωτήσεις οργάνωσης ή κλινικής πληροφορίας;,,,
11,Επεκτασιμότητα,Φαίνεται ότι μπορεί να προστεθεί νέο περιστατικό χωρίς να ξαναχτιστεί όλο το μοντέλο;,,,
12,Συνολική αξιολόγηση,Είναι αρκετά καθαρό ως proof-of-concept για ερευνητικό paper;,,,
